PID,Name,Username,CPU%,RAM%,CreateTime
4468,conhost.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.079639816206317,1710047358.135153
4508,RuntimeBroker.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.4285331620914475,1710047354.3847044
4640,svchost.exe,,0.0,0.19665738992199,1710006005.3384233
4772,nvcontainer.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.5389183689313201,1710047348.1559832
4784,svchost.exe,,0.0,0.08406139412351729,1710006005.5376315
4852,svchost.exe,,0.0,0.2447291963473653,1710006005.6842365
4860,dwm.exe,,0.0,0.9566546547133249,1710018748.2120488
4908,AsusOptimization.exe,,0.0,0.09475544303953662,1710006005.7940297
4928,svchost.exe,,0.0,0.15316140250394986,1710006005.7946384
5032,wlanext.exe,,0.0,0.06673497833169752,1710006005.8343072
5040,ArmourySocketServer.exe,DESKTOP-HLV4EN6\Aditya,0.0,0.032339215231616134,1710047348.672998
5044,conhost.exe,,0.0,0.06616942766786958,1710006005.83838
5076,Code.exe,DESKTOP-HLV4EN6\Aditya,0.0,5.75571193317042,1710050113.849429
